"Sr. No.","Property Name (Scheme Native)"
"1","Ambrosia"
"2","Solaris Business Hub"
"3","Suresha Anew"
"4","Sun Orbit"
"5","WestBank"
"6","The Taurus"
"7","Shalin Square"
"8","Hastinapur"
"9","The Quad"
"10","Wynn by A.Shridhar"
"11","Sheladia Sarva"
"12","Premium Plots"
"13","Anmol Ambience"
"14","Arham Luxuria"
"15","Aryan Elegance"
"16","Siddharth Vrundavan"
"17","Siddharth Gardenia"
"18","Silver Brook 2"
"19","Eternity"
"20","Aavyan"
"21","Kadamb"
"22","Sun Flower"
"23","Malabar Retreat"
"24","The Imperial Heights"
"25","Satyam Apartment"
"26","Obsidian Towers"
"27","Parkview One"
"28","Aster Neo"
"29","Embrace"
"30","Elysium Novus"
"31","Shivalik Green Field"
"32","Paarijat"
"33","Shilp Skyline"
"34","The West Park"
"35","The North Park"
"36","Belrosa"
"37","Shilp Residency"
"38","Shilp Business Gateway"
"39","Shilp Celestial"
"40","Brij Sandalwood"
"41","Brij IRIS"
"42","Brij Azalea"
"43","Siddharth Haven"
"44","De Casa"
"45","Solaris Residency"
"46","Rameshwar City"
"47","Ganesh Luxuria"
"48","Vikram Luxuria Living"
"49","The Empiirean"
"50","Sahashya Skyzenia"
"51","Brillia by Pravish"
"52","Parkview Prism"
"53","Vivaan Ixora"
"54","Vivaan Essence"
"55","Vivaan Solitaire"
"56","Vivaan Aura"
"57","Vivaan Oliver"
"58","Vivaan Orbit"
"59","THE ORION"
"60","Aryajeet Surya"
"61","Aarya Edge"
"62","Nandita Sampann"
"63","La Gracia"
"64","Olive Greens"
"65","Aarya Epoch"
"66","Rajshree Regalia"
"67","Bluebell"
"68","Adani Archway"
"69","Adani Augusta"
"70","Adani Atrius"
"71","Shankus Aatmantan"
"72","Elysia by Sobha"
"73","Shankus Opus"
"74","Meghalaya by Rajyash"
"75","Divya Heights"
"76","Dharohar"
"77","The Nest"
"78","Artham 97"
"79","Sakar Sky"
"80","Super Shaligram"
"81","Evana by Shashwat"
"82","Shivanjali by Shashwat"
"83","Embrace The Wind"
"84","The Gate by Dev Aashish"
"85","The Gate-X by Dev Aashish"
"86","The Gate-2 by Dev Aashish"
"87","Anantara Abode"
"88","Anantara Imperial"
"89","The Indus by Sheetal"
"90","Gharana by Sheetal"
"91","Centroid by Sanghvi Group"
"92","Manor Ananda"
"93","Swati-Premier"
"94","Trident Experia"
"95","Turquoise Rosedale"
"96","Turquoise Agasiya"
"97","Turquoise Glamouere"
"98","Suryam Arnath"
"99","Radhe Govind Galaxy"
"100","Swati 18"
"101","Swati Signiya"
"102","The Canvas by Kavisha"
"103","Santorini Square"
"104","Pearl Bungalow"
"105","Vaikunth By A.Shridhar"
"106","Kaveri Soham Vivanta by A.Shridhar"
"107","Anantara Alora by A.Shridhar"
"108","Athens by A.Shridhar"
"109","Absolute by A.Shridhar"
"110","Kalrav Treasure by A.Shridhar"
"111","Kalrav Trails by A.Shridhar"
"112","Kalrav Seasons by A.Shridhar"
"113","Kalrav Nest by A.Shridhar"
"114","Kalrav Farms by A.Shridhar"
"115","Silver Harmony-2"
"116","Centre Court by Trogon"
"117","Trogon Twin Towers "
"118","Swarnim Sun"
"119","Swarnim Sentosaa"
"120","Swarnim 18"
"121","Swarnim Business Center "
"122","Siban"
"123","Turquoise Grandeure"
"124","The Citadel"
"125","Rewa"
"126","Reva"
"127","Narmada"
"128","Ganga"
"129","Keshwam Skyview"
"130","The Palace"
"131","Satyamev Luxor"
"132","Celestial Garden Living"
"133","Ananta Elite"
"134","Rajul Greens"
"135","The First"
"136","Z Luxuria"
"137","Zade Two"
"138","Kautilya TWO20"
"139","Vinayak Elysium"
"140","Anand Avyam"
"141","Avant"
"142","Eternity by Ratnaakar"
"143","Artesia by Ratnaakar"
"144","The Whitecraft"
"145","Belmont by Binori"
"146","Triveni 84"
"147","Anamika High Point"
"148","The Double 3"
"149","Turquoise Greenz by Ratna"
"150","Re 45 by Ratna"
"151","The Residency"
"152","The Bellagio"
"153","Eternity by Sankalp"
"154","Sankalp 59"
"155","Sankalp 480"
"156","Olive XIV"
"157","Apricus 2 by Saiyamm"
"158","Times Marvel"
"159","Times Trinity"
"160","Times 104"
"161","Times 40"
"162","Tree Top by Sheladia"
"163","Swan Lake"
"164","The Sovereign"
"165","Sharanya Kadamb"
"166","Sakar One"
"167","ManekBaug Society"
"168","Sun Sky View"
"169","Sun Urban Park"
"170","Sun Mayfair"
"171","Sun Park West"
"172","Sun City Park"
"173","Sun Footprint"
"174","Sun Solace"
"175","Sun Silver Springs"
"176","Sakar Two"
"177","Sakar Three"
"178","Armonia Sky"
"179","Amaris"
"180","Vishakha Seleqt"
"181","Samyak"
"182","Arise One"
"183","Pre Launch By Sun Builders"
"184","Essence 171"
"185","The One"
"186","Dev Aurum Minato"
"187","Aanira One"
"188","Diwali Skyz"
"189","Panache"
"190","Aurika One"
"191","Sarang Lake View"
"192","Ganesh Vivanta"
"193","Indraprasth Marigold"
"194","Indraprasth Ixora"
"195","Indraprasth Abode"
"196","Swarnim Heights"
"197","Indraprasth Saptak"
"198","Ananta"
"199","Skyvue 126"
"200","The Q By Satya"
"201","Anuvrat By Shivanka"
"202","Scarlet Springs"
"203","Signet"
"204","Akshar Evoq"
"205","The Crest"
"206","Solo Lake View"
"207","Ideal Ixora"
"208","The Green Parmeshwar"
"209","Shaligram Luxuria"
"210","Dharti Sky Line"
"211","Nityam Harmony"
"212","The Sparkle"
"213","Shaligram Sky"
"214","Status Sky"
"215","Harmony Harikesh"
"216","Stateland"
"217","Vivekanand Arise"
"218","Yash Imperia"
"219","Stark Torre"
"220","Vishakha Empyrean"
"221","Veridian"
"222","Addor Aspire 2"
"223","Aristo Anantam"
"224","Addor Arise"
"225","Artham Prism"
"226","Sun Residency"
"227","Map Celebration"
"228","Elinor 51"
"229","Aarohi Avinya"
